"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","BDS_modality","subject","key_press","designation","span","answer","correct","was_correct","spanHistory","max_span","total_correct","value"
"2380","<p>Willkommen bei der <b>Ziffernspannen-Aufgabe.</b></p><p>Bei jedem Versuch h&ouml;ren Sie eine Ziffernfolge und sollen diese in umgekehrter Reihenfolge wiedergeben.</p><p>Zum Beispiel, falls sie die Zahlen <b style=""color:blue;"">Eins</b>, <b style=""color:blue;"">Zwei</b>, <b style=""color:blue;"">Drei</b>, geh&ouml;rt haben, dann antworten Sie mit <b style=""color:blue;"">3</b>, <b style=""color:blue;"">2</b>, <b style=""color:blue;"">1</b></p><p>Um eine hohe Qualit&auml;t der Daten zu gew&auml;hrleisten, ist es sehr wichtig, dass Sie keine Ged&auml;chtnisst&uuml;tze (z.B. Stift und Papier) verwenden.<br>Bitte bearbeiten Sie die Aufgabe ausschlie&#223;lich im Kopf.</p><p>Es werden insgesamt 12 Durchl&auml;ufe gemacht. Die Teilname dauert etwa 10 Minuten. Am Ende sehen sie Ihre erreichte Punktzahl.</p>","0","html-button-response","0","2382","0.0-0.0-0.0","auditory","A03F69","","","","","","","","","",""
"23039","<p>Test 1 von 12</p>","0","html-button-response","1","25423","0.0-0.0-1.0-0.0-0.0","auditory","A03F69","","","","","","","","","",""
"null","digits/six.wav","","audio-keyboard-response","2","26792","0.0-0.0-1.0-0.0-1.0-0.0","auditory","A03F69","null","","","","","","","","",""
"null","digits/five.wav","","audio-keyboard-response","3","27826","0.0-0.0-1.0-0.0-1.1-0.1","auditory","A03F69","null","","","","","","","","",""
"null","digits/two.wav","","audio-keyboard-response","4","28872","0.0-0.0-1.0-0.0-1.2-0.2","auditory","A03F69","null","","","","","","","","",""
"13710","<div class = numbox><p>Wie lauteten die Zahlen <b>in umgekehrter Reihenfolge</b>?<br> Antwort mit Enter-Taste best&auml;tigen.</p><button id = button_1 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>1</div></div></button><button id = button_2 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>2</div></div></button><button id = button_3 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>3</div></div></button><button id = button_4 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>4</div></div></button><button id = button_5 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>5</div></div></button><button id = button_6 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>6</div></div></button><button id = button_7 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>7</div></div></button><button id = button_8 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>8</div></div></button><button id = button_9 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>9</div></div></button><button class = clear_button id = ""ClearButton"" onclick = ""clearResponse()"">L&ouml;schen</button><p><u><b>Ihre Antwort:</b></u></p><div id=echoed_txt style=""font-size: 30px; color:blue;""><b></b></div></div>","","html-keyboard-response","5","42834","0.0-0.0-1.0-0.0-2.0","auditory","A03F69","13","BDS-RESPONSE","3","2,5,6","2,5,6","1","3,4,5,6,7,8,8,7,8,9,9,10","0","0",""
"","","","call-function","6","42834","0.0-0.0-1.0-0.0-3.0","auditory","A03F69","","","","","","","","","",""
"3458","<p>Test 2 von 12</p>","0","html-button-response","7","46293","0.0-0.0-1.1-0.1-0.1","auditory","A03F69","","","","","","","","","",""
"null","digits/two.wav","","audio-keyboard-response","8","47592","0.0-0.0-1.1-0.1-1.3-0.3","auditory","A03F69","null","","","","","","","","",""
"null","digits/one.wav","","audio-keyboard-response","9","48712","0.0-0.0-1.1-0.1-1.4-0.4","auditory","A03F69","null","","","","","","","","",""
"null","digits/six.wav","","audio-keyboard-response","10","49759","0.0-0.0-1.1-0.1-1.5-0.5","auditory","A03F69","null","","","","","","","","",""
"null","digits/nine.wav","","audio-keyboard-response","11","50686","0.0-0.0-1.1-0.1-1.6-0.6","auditory","A03F69","null","","","","","","","","",""
"9135","<div class = numbox><p>Wie lauteten die Zahlen <b>in umgekehrter Reihenfolge</b>?<br> Antwort mit Enter-Taste best&auml;tigen.</p><button id = button_1 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>1</div></div></button><button id = button_2 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>2</div></div></button><button id = button_3 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>3</div></div></button><button id = button_4 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>4</div></div></button><button id = button_5 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>5</div></div></button><button id = button_6 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>6</div></div></button><button id = button_7 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>7</div></div></button><button id = button_8 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>8</div></div></button><button id = button_9 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>9</div></div></button><button class = clear_button id = ""ClearButton"" onclick = ""clearResponse()"">L&ouml;schen</button><p><u><b>Ihre Antwort:</b></u></p><div id=echoed_txt style=""font-size: 30px; color:blue;""><b></b></div></div>","","html-keyboard-response","12","60073","0.0-0.0-1.1-0.1-2.1","auditory","A03F69","13","BDS-RESPONSE","4","9,6,1,2","9,6,1,2","1","3,4,5,6,7,8,8,7,8,9,9,10","3","1",""
"","","","call-function","13","60074","0.0-0.0-1.1-0.1-3.1","auditory","A03F69","","","","","","","","","",""
"2287","<p>Test 3 von 12</p>","0","html-button-response","14","62362","0.0-0.0-1.2-0.2-0.2","auditory","A03F69","","","","","","","","","",""
"null","digits/one.wav","","audio-keyboard-response","15","63733","0.0-0.0-1.2-0.2-1.7-0.7","auditory","A03F69","null","","","","","","","","",""
"null","digits/eight.wav","","audio-keyboard-response","16","64606","0.0-0.0-1.2-0.2-1.8-0.8","auditory","A03F69","null","","","","","","","","",""
"null","digits/six.wav","","audio-keyboard-response","17","65651","0.0-0.0-1.2-0.2-1.9-0.9","auditory","A03F69","null","","","","","","","","",""
"null","digits/two.wav","","audio-keyboard-response","18","66697","0.0-0.0-1.2-0.2-1.10-0.10","auditory","A03F69","null","","","","","","","","",""
"null","digits/nine.wav","","audio-keyboard-response","19","67625","0.0-0.0-1.2-0.2-1.11-0.11","auditory","A03F69","null","","","","","","","","",""
"15933","<div class = numbox><p>Wie lauteten die Zahlen <b>in umgekehrter Reihenfolge</b>?<br> Antwort mit Enter-Taste best&auml;tigen.</p><button id = button_1 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>1</div></div></button><button id = button_2 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>2</div></div></button><button id = button_3 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>3</div></div></button><button id = button_4 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>4</div></div></button><button id = button_5 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>5</div></div></button><button id = button_6 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>6</div></div></button><button id = button_7 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>7</div></div></button><button id = button_8 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>8</div></div></button><button id = button_9 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>9</div></div></button><button class = clear_button id = ""ClearButton"" onclick = ""clearResponse()"">L&ouml;schen</button><p><u><b>Ihre Antwort:</b></u></p><div id=echoed_txt style=""font-size: 30px; color:blue;""><b></b></div></div>","","html-keyboard-response","20","83812","0.0-0.0-1.2-0.2-2.2","auditory","A03F69","13","BDS-RESPONSE","5","9,2,6,8,1","9,2,6,8,1","1","3,4,5,6,7,8,8,7,8,9,9,10","4","2",""
"","","","call-function","21","83812","0.0-0.0-1.2-0.2-3.2","auditory","A03F69","","","","","","","","","",""
"7444","<p>Test 4 von 12</p>","0","html-button-response","22","91258","0.0-0.0-1.3-0.3-0.3","auditory","A03F69","","","","","","","","","",""
"null","digits/three.wav","","audio-keyboard-response","23","92511","0.0-0.0-1.3-0.3-1.12-0.12","auditory","A03F69","null","","","","","","","","",""
"null","digits/nine.wav","","audio-keyboard-response","24","93439","0.0-0.0-1.3-0.3-1.13-0.13","auditory","A03F69","null","","","","","","","","",""
"null","digits/seven.wav","","audio-keyboard-response","25","94507","0.0-0.0-1.3-0.3-1.14-0.14","auditory","A03F69","null","","","","","","","","",""
"null","digits/two.wav","","audio-keyboard-response","26","95551","0.0-0.0-1.3-0.3-1.15-0.15","auditory","A03F69","null","","","","","","","","",""
"null","digits/six.wav","","audio-keyboard-response","27","96596","0.0-0.0-1.3-0.3-1.16-0.16","auditory","A03F69","null","","","","","","","","",""
"null","digits/four.wav","","audio-keyboard-response","28","97610","0.0-0.0-1.3-0.3-1.17-0.17","auditory","A03F69","null","","","","","","","","",""
"15939","<div class = numbox><p>Wie lauteten die Zahlen <b>in umgekehrter Reihenfolge</b>?<br> Antwort mit Enter-Taste best&auml;tigen.</p><button id = button_1 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>1</div></div></button><button id = button_2 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>2</div></div></button><button id = button_3 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>3</div></div></button><button id = button_4 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>4</div></div></button><button id = button_5 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>5</div></div></button><button id = button_6 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>6</div></div></button><button id = button_7 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>7</div></div></button><button id = button_8 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>8</div></div></button><button id = button_9 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>9</div></div></button><button class = clear_button id = ""ClearButton"" onclick = ""clearResponse()"">L&ouml;schen</button><p><u><b>Ihre Antwort:</b></u></p><div id=echoed_txt style=""font-size: 30px; color:blue;""><b></b></div></div>","","html-keyboard-response","29","113800","0.0-0.0-1.3-0.3-2.3","auditory","A03F69","13","BDS-RESPONSE","6","4,6,2,7,9,3","4,6,2,7,9,3","1","3,4,5,6,7,8,8,7,8,9,9,10","5","3",""
"","","","call-function","30","113801","0.0-0.0-1.3-0.3-3.3","auditory","A03F69","","","","","","","","","",""
