1630944177.000000, 1630944177.000000, 1630944177.000000
32.000000, 32.000000, 32.000000
-64,-1,-19
-63,0,1
-63,-1,5
-66,-11,2
-59,-13,-1
-53,-11,12
-41,-27,25
-48,-30,16
-69,-34,-12
-58,-29,-11
-59,-17,-11
-61,-12,-3
-42,-11,25
-3,-12,97
-27,14,113
-57,-10,35
-58,6,28
-70,11,40
-64,8,42
-50,2,39
-41,0,43
-42,0,44
-48,0,39
-49,1,39
-56,1,36
-57,2,35
-52,2,38
-51,1,37
-51,1,37
-53,0,35
-58,1,33
-57,2,35
-52,2,35
-52,2,37
-49,3,39
-53,0,34
-55,1,34
-50,1,41
-51,1,35
-52,2,36
-40,2,43
-44,1,36
-58,5,23
-60,5,23
-66,3,14
-71,2,7
-72,2,6
-68,0,7
-64,0,9
-63,2,11
-65,4,10
-65,3,7
-63,4,11
-63,3,12
-62,2,12
-62,2,12
-63,1,11
-63,1,11
-64,2,10
-64,2,9
-64,3,9
-64,2,10
-63,3,11
-63,3,11
-64,3,9
-64,2,9
-63,2,10
-63,2,10
-64,2,8
-65,2,8
-63,1,9
-63,2,10
-65,2,9
-65,2,8
-63,2,10
-64,2,10
-64,3,10
-64,3,9
-64,3,10
-63,3,10
-64,3,9
-64,3,9
-63,2,10
-63,2,10
-64,1,9
-64,1,8
-64,2,9
-64,2,9
-64,3,9
-63,3,9
-64,3,9
-63,3,10
-63,3,10
-64,2,8
-64,2,9
-63,2,10
-64,2,9
-64,2,9
-63,3,9
-63,3,10
-63,3,9
-64,2,9
-64,2,9
-63,2,10
-64,3,9
-64,3,9
-64,3,9
-64,2,10
-64,2,9
-64,2,9
-63,3,10
-63,2,9
-64,3,9
-64,3,9
-64,2,8
-64,2,9
-64,2,8
-64,2,8
-64,1,9
-64,3,10
-63,3,11
-63,3,11
-63,3,11
-63,3,10
-64,3,9
-63,2,10
-63,3,10
-64,2,8
-63,4,9
-63,4,8
-64,3,7
-63,4,8
-65,3,7
-65,2,4
-66,2,1
-64,3,4
-64,3,5
-64,3,4
-65,3,3
-65,3,3
-65,3,3
-65,3,3
-65,2,3
-64,3,3
-64,3,3
-65,3,3
-65,2,2
-64,2,2
-64,1,3
-64,1,3
-66,2,2
-65,3,3
-64,3,3
-64,3,3
-64,3,3
-65,2,2
-65,2,2
-64,2,2
-65,2,2
-65,2,2
-65,2,3
-65,2,2
-64,2,3
-64,2,3
