1630944375.000000, 1630944375.000000, 1630944375.000000
32.000000, 32.000000, 32.000000
-39,-40,22
-35,-38,23
-33,-40,26
-38,-39,27
-34,-38,39
-25,-46,39
-41,-45,38
-33,-42,37
-32,-42,31
-32,-40,32
-32,-41,33
-33,-43,33
-33,-42,38
-37,-45,38
-36,-47,39
-43,-45,35
-41,-42,33
-38,-34,37
-35,-39,36
-37,-46,33
-36,-47,33
-43,-47,32
-42,-48,28
-36,-49,22
-29,-49,23
-28,-50,21
-32,-50,25
-28,-47,32
-30,-50,26
-33,-48,22
-30,-47,19
-28,-49,18
-28,-51,21
-30,-55,24
-31,-55,28
-35,-54,30
-36,-50,29
-32,-50,25
-33,-49,24
-34,-50,22
-35,-50,22
-36,-52,24
-40,-50,26
-35,-50,29
-43,-42,24
-35,-44,24
-39,-44,19
-38,-48,18
-38,-50,19
-40,-46,22
-42,-44,24
-45,-40,22
-48,-41,20
-42,-43,21
-44,-61,27
-36,-51,22
-45,-46,18
-40,-45,21
-41,-46,21
-42,-48,22
-44,-44,23
-43,-46,21
-45,-45,22
-30,-49,29
-37,-44,21
-39,-52,21
-27,-50,30
-31,-51,26
-35,-49,22
-35,-48,26
-26,-41,29
-31,-49,27
-30,-50,28
-31,-51,26
-32,-52,26
-30,-51,27
-34,-53,23
-32,-53,21
-33,-53,20
-34,-54,18
-35,-51,16
-36,-50,17
-35,-52,13
-35,-51,9
-35,-52,11
-34,-54,12
-36,-53,11
-38,-55,12
-47,-56,6
-41,-54,12
-36,-52,10
-32,-49,18
-29,-54,20
-27,-53,20
-28,-55,25
-29,-51,27
-30,-52,26
-28,-52,27
-27,-53,25
-26,-55,25
-25,-54,29
-26,-51,25
-24,-50,28
-25,-50,28
-32,-61,18
-12,-45,36
-27,-58,27
-29,-54,24
-25,-55,25
-25,-52,27
-21,-52,28
-29,-55,24
-24,-52,27
-27,-56,22
-28,-56,23
-26,-54,25
-28,-53,23
-24,-53,25
-29,-43,26
-18,-62,25
-21,-61,28
-30,-50,20
-34,-46,20
-28,-51,13
-29,-54,10
-48,-53,4
-31,-53,9
-40,-50,5
-42,-51,6
-38,-54,9
-45,-49,5
-37,-55,10
-44,-50,5
-43,-49,5
-50,-47,-1
-45,-48,2
-47,-47,-3
-41,-48,-4
-45,-47,-8
-44,-47,-6
-41,-47,-5
-41,-47,-8
-38,-47,-11
-28,-56,-18
-31,-55,-9
-47,-49,-25
-45,-48,-26
-52,-46,-26
-51,-47,-12
-37,-54,-11
-53,-45,-18
-53,-45,0
-54,-44,0
-31,-80,-7
-43,-41,11
-31,-41,26
-30,-36,35
-19,-35,46
-13,-31,49
-12,-31,55
-13,-40,51
-28,-33,44
-32,-39,45
-22,-28,52
-14,-24,55
-24,-46,43
-24,-35,49
-24,-41,48
-22,-38,47
-22,-40,47
-25,-39,45
-24,-38,49
-20,-42,49
-17,-40,48
-21,-44,46
-29,-44,40
-37,-47,30
-43,-44,24
-44,-44,26
-36,-45,33
-30,-42,25
-27,-46,27
-25,-40,28
-37,-44,18
-41,-37,21
-43,-46,24
-37,-48,33
-32,-44,43
-31,-45,43
-30,-43,44
-28,-43,44
-31,-46,37
-35,-42,33
-36,-44,34
-31,-38,39
-35,-42,36
-30,-51,36
-30,-47,34
-31,-49,34
-32,-49,37
-20,-50,33
-21,-25,55
-22,-41,40
-24,-38,54
-27,-44,41
-19,-45,45
-17,-42,46
-15,-43,45
-23,-37,38
-25,-52,38
-16,-41,48
-16,-42,43
-15,-42,44
-13,-42,47
-11,-41,48
-9,-41,48
-9,-45,48
-10,-45,46
-14,-44,42
-14,-46,42
-14,-45,42
-14,-42,42
-11,-40,45
-7,-43,46
-8,-48,45
-11,-42,46
-14,-46,42
-14,-42,46
-16,-41,45
-13,-43,46
-13,-45,46
-4,-43,48
-7,-46,47
-9,-44,46
-12,-43,44
-11,-43,45
-10,-43,45
-10,-43,45
-11,-43,44
-13,-47,43
-10,-43,44
-5,-43,42
2,-42,43
1,-43,37
1,-32,37
13,-31,50
-12,-24,52
-21,-21,56
-31,-22,47
-35,-19,44
-41,-19,57
-45,-25,54
-25,-25,48
-31,-15,57
-32,-16,65
-28,-12,70
-12,-6,71
-9,-4,71
-11,-1,68
-7,1,70
-5,2,67
3,13,70
-30,-12,43
18,5,72
31,13,79
4,6,61
-8,6,62
-6,0,68
-8,4,69
-6,6,74
-10,10,72
-9,14,73
-11,8,64
3,-2,66
-6,4,61
-17,38,52
-11,-4,56
-8,-2,59
-15,-4,49
-4,1,62
-4,2,64
-9,4,63
-7,1,65
-8,5,65
-4,3,63
-1,5,65
-4,3,63
1,11,63
4,5,64
3,3,63
2,6,65
-3,7,61
-7,1,62
3,6,63
3,10,64
5,3,65
2,3,68
-3,2,73
-1,6,70
-3,14,68
-6,2,62
7,-16,61
-8,16,55
-4,-2,61
-4,4,64
-8,0,60
-4,0,62
-8,1,63
-6,1,63
-8,1,64
-7,1,64
-7,1,64
-6,1,64
-6,1,65
-6,1,64
-5,1,64
-7,1,64
-6,1,64
-6,0,63
-8,1,63
-7,1,63
-8,1,63
-7,0,63
-6,1,64
-7,0,63
-7,0,64
-7,1,63
-8,1,64
-7,0,63
-7,1,63
-7,1,63
-7,0,64
-7,0,63
-7,0,64
-8,0,63
-7,0,63
-7,0,63
-8,0,64
-7,0,63
-7,0,63
-7,0,63
-8,0,63
-7,0,63
-7,1,63
-8,0,62
-7,0,63
-8,0,63
-8,0,63
-9,0,64
-9,0,64
-7,0,64
-8,0,63
-8,0,63
-6,0,63
-8,0,64
-7,0,64
-8,0,64
-8,0,63
-8,0,63
-7,0,63
-8,0,63
-8,0,63
-10,0,63
-8,0,64
-8,0,63
-7,0,64
-7,0,63
-7,0,64
-7,0,63
-8,0,63
-8,1,63
-8,0,63
-8,0,63
-7,0,63
-9,0,64
-8,0,63
-7,0,64
-8,0,63
-8,0,63
-8,0,63
-8,0,64
-7,1,63
-7,0,64
-8,0,63
-7,0,63
-8,0,63
-7,0,63
-8,0,63
-8,0,64
-8,0,64
-8,0,64
-7,0,63
-7,0,63
-7,0,63
-8,0,63
-7,0,64
-6,0,64
-7,0,64
-7,-1,64
-5,0,65
-4,-1,64
-3,-1,66
-4,-3,65
-2,-3,67
-11,-1,65
-17,-2,63
-18,-4,62
-22,-4,60
-30,-5,57
-35,-10,55
-30,-14,54
-29,-16,54
-36,-17,54
-35,-17,55
-36,-17,55
-35,-18,52
-41,-19,48
-40,-21,42
-39,-21,44
-44,-22,39
-44,-21,40
-33,-24,45
-38,-26,45
-25,-18,55
-32,-25,46
-34,-25,46
-31,-25,49
-32,-22,49
-28,-26,48
-34,-26,48
-36,-26,48
-39,-25,47
-44,-25,48
-49,-36,33
-25,-19,56
-41,-29,41
-37,-28,44
-39,-26,45
-39,-26,45
-41,-23,47
-35,-29,49
-37,-31,46
-37,-25,46
-37,-27,46
-37,-26,46
-39,-29,45
-34,-25,50
-41,-25,42
-41,-25,41
-40,-26,42
-38,-27,41
-38,-28,42
-31,-29,46
-43,-28,40
-40,-30,37
-41,-32,39
