1630943510.000000, 1630943510.000000, 1630943510.000000
32.000000, 32.000000, 32.000000
-43,-12,-44
-47,-24,-43
-45,-21,-41
-41,-35,-44
-44,-20,-42
-50,-15,-39
-44,-21,-42
-43,-33,-39
-48,-25,-32
-45,-27,-27
-53,-32,-29
-52,-33,-30
-48,-28,-33
-47,-29,-26
-52,-29,-27
-53,-26,-24
-53,-30,-24
-28,-51,-17
-64,-29,-30
-51,-32,-20
-61,-28,-17
-52,-30,-9
-55,-25,0
-57,-29,4
-58,-29,0
-59,-28,-2
-62,-31,-6
-61,-28,-2
-61,-29,0
-64,-30,1
-61,-33,2
-61,-29,1
-57,-26,5
-55,-27,4
-56,-28,2
-56,-30,4
-58,-25,3
-57,-26,5
-60,-27,6
-59,-28,6
-61,-28,6
-62,-28,7
-61,-27,8
-60,-28,8
-56,-26,13
-51,-26,12
-53,-30,10
-56,-28,4
-56,-28,5
-57,-31,5
-60,-27,4
-58,-29,7
-56,-28,6
-57,-28,6
-60,-28,6
-59,-30,6
-57,-29,9
-50,-33,13
-54,-31,12
-54,-29,14
-50,-28,14
-58,-28,15
-53,-26,18
-51,-28,16
-57,-29,9
-59,-29,7
-58,-29,9
-56,-29,9
-56,-29,8
-59,-28,6
-61,-27,5
-62,-31,6
-57,-31,9
-63,-26,10
-58,-29,12
-42,-28,25
-57,-37,16
-61,-30,19
-53,-30,25
-70,-32,15
-58,-31,20
-54,-29,23
-53,-25,28
-52,-25,25
-59,-21,22
-54,-26,29
-20,-24,43
-38,-23,42
-35,-23,43
-27,-19,45
-27,-25,45
-37,-21,45
-24,-23,51
-22,-28,48
-39,-23,47
-46,-20,50
-17,-30,46
6,-13,74
-63,-16,49
-12,-39,50
-13,-29,54
-38,-3,47
-29,-30,45
-32,-30,41
-33,-28,39
-30,-21,42
-48,-11,49
-38,-36,39
-37,-35,44
-21,-28,54
-22,-20,62
-25,-22,58
-17,-22,60
-15,-17,61
-12,-17,60
-4,-9,58
-12,-9,58
-9,-6,63
-5,-15,69
0,-36,68
13,5,80
34,1,77
16,11,51
8,12,55
12,8,60
13,6,59
13,7,56
26,-1,60
28,-3,59
14,-5,58
6,-10,53
8,-18,44
12,-19,45
-7,-9,58
-20,-4,59
-28,0,62
-18,2,73
-21,3,73
-18,0,65
0,-5,62
1,-5,51
-3,-4,54
-2,-5,63
-5,1,65
-12,5,63
-19,7,59
-19,8,58
-27,11,57
-39,11,55
-43,8,54
-40,4,52
-36,4,52
-24,8,56
-29,7,53
-25,7,56
-20,8,59
-20,10,62
-33,9,62
-37,8,62
-37,6,64
-31,5,64
-26,4,66
-21,3,67
-5,-5,67
4,-10,65
3,-12,63
-5,-13,60
-3,-14,59
-1,-15,61
4,-18,59
5,-21,54
6,-25,51
9,-28,48
11,-29,44
13,-30,43
18,-33,42
20,-34,40
26,-38,36
28,-41,38
26,-41,37
28,-40,36
31,-41,37
41,-41,43
33,-43,38
24,-46,39
20,-47,39
16,-48,36
2,-49,33
2,-48,36
6,-50,34
3,-51,31
-5,-52,24
2,-50,29
9,-51,32
7,-50,35
3,-49,35
11,-49,40
20,-48,45
-3,-50,35
4,-45,42
18,-46,46
4,-47,40
-3,-50,37
0,-49,36
5,-50,35
6,-50,35
5,-50,35
3,-49,39
4,-49,39
3,-50,38
3,-49,39
6,-50,39
9,-48,39
5,-50,36
6,-50,37
7,-48,40
8,-48,40
7,-49,38
6,-50,38
6,-49,38
7,-49,38
8,-50,37
10,-50,36
9,-50,36
10,-49,37
12,-50,36
13,-50,35
14,-51,35
13,-50,35
11,-49,35
12,-49,36
13,-51,35
13,-51,34
14,-51,34
13,-51,34
12,-51,35
12,-51,34
13,-50,35
13,-50,35
14,-50,34
14,-50,34
14,-51,35
12,-50,35
13,-50,36
13,-49,36
13,-49,36
13,-49,36
12,-50,35
10,-50,33
6,-51,32
10,-51,37
9,-50,37
5,-50,35
6,-50,36
8,-49,38
8,-49,39
8,-48,40
7,-47,40
4,-47,39
3,-49,40
5,-49,41
5,-49,39
5,-49,39
0,-48,39
3,-49,39
4,-48,39
4,-47,40
2,-48,40
3,-48,41
3,-48,41
3,-48,41
1,-48,39
0,-48,37
4,-49,38
9,-49,40
8,-48,40
6,-48,38
