"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","BDS_modality","subject","key_press","designation","span","answer","correct","was_correct","spanHistory","max_span","total_correct","value"
"null","digits/three.wav","","audio-keyboard-response","90","320837","0.0-0.0-1.10-0.10-1.58-0.58","auditory","A02BED","null","","","","","","","","",""
"null","digits/seven.wav","","audio-keyboard-response","91","321916","0.0-0.0-1.10-0.10-1.59-0.59","auditory","A02BED","null","","","","","","","","",""
"null","digits/six.wav","","audio-keyboard-response","92","322977","0.0-0.0-1.10-0.10-1.60-0.60","auditory","A02BED","null","","","","","","","","",""
"null","digits/two.wav","","audio-keyboard-response","93","324037","0.0-0.0-1.10-0.10-1.61-0.61","auditory","A02BED","null","","","","","","","","",""
"null","digits/four.wav","","audio-keyboard-response","94","325057","0.0-0.0-1.10-0.10-1.62-0.62","auditory","A02BED","null","","","","","","","","",""
"null","digits/nine.wav","","audio-keyboard-response","95","325988","0.0-0.0-1.10-0.10-1.63-0.63","auditory","A02BED","null","","","","","","","","",""
"null","digits/eight.wav","","audio-keyboard-response","96","326866","0.0-0.0-1.10-0.10-1.64-0.64","auditory","A02BED","null","","","","","","","","",""
"null","digits/five.wav","","audio-keyboard-response","97","327906","0.0-0.0-1.10-0.10-1.65-0.65","auditory","A02BED","null","","","","","","","","",""
"null","digits/one.wav","","audio-keyboard-response","98","329037","0.0-0.0-1.10-0.10-1.66-0.66","auditory","A02BED","null","","","","","","","","",""
"25263","<div class = numbox><p>Wie lauteten die Zahlen <b>in umgekehrter Reihenfolge</b>?<br> Antwort mit Enter-Taste best&auml;tigen.</p><button id = button_1 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>1</div></div></button><button id = button_2 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>2</div></div></button><button id = button_3 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>3</div></div></button><button id = button_4 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>4</div></div></button><button id = button_5 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>5</div></div></button><button id = button_6 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>6</div></div></button><button id = button_7 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>7</div></div></button><button id = button_8 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>8</div></div></button><button id = button_9 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>9</div></div></button><button class = clear_button id = ""ClearButton"" onclick = ""clearResponse()"">L&ouml;schen</button><p><u><b>Ihre Antwort:</b></u></p><div id=echoed_txt style=""font-size: 30px; color:blue;""><b></b></div></div>","","html-keyboard-response","99","354557","0.0-0.0-1.10-0.10-2.10","auditory","A02BED","13","BDS-RESPONSE","9","1,5,8,9,4,2,9,7,3","1,5,8,9,4,2,6,7,3","0","3,4,5,6,6,5,6,7,8,8,9,9","8","7",""
"","","","call-function","100","354557","0.0-0.0-1.10-0.10-3.10","auditory","A02BED","","","","","","","","","",""
"16030","<p>Test 12 von 12</p>","0","html-button-response","101","370587","0.0-0.0-1.11-0.11-0.11","auditory","A02BED","","","","","","","","","",""
