"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","BDS_modality","subject","key_press","designation","span","answer","correct","was_correct","spanHistory","max_span","total_correct","value"
"28946","<div class = numbox><p>Wie lauteten die Zahlen <b>in umgekehrter Reihenfolge</b>?<br> Antwort mit Enter-Taste best&auml;tigen.</p><button id = button_1 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>1</div></div></button><button id = button_2 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>2</div></div></button><button id = button_3 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>3</div></div></button><button id = button_4 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>4</div></div></button><button id = button_5 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>5</div></div></button><button id = button_6 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>6</div></div></button><button id = button_7 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>7</div></div></button><button id = button_8 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>8</div></div></button><button id = button_9 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>9</div></div></button><button class = clear_button id = ""ClearButton"" onclick = ""clearResponse()"">L&ouml;schen</button><p><u><b>Ihre Antwort:</b></u></p><div id=echoed_txt style=""font-size: 30px; color:blue;""><b></b></div></div>","","html-keyboard-response","107","330623","0.0-0.0-1.10-0.10-2.10","auditory","A02F50","13","BDS-RESPONSE","9","8,5,2,1,6,3,9,4","8,5,2,1,6,3,7,9,4","0","3,4,5,6,7,7,8,9,9,8,9,9","8","7",""
"","","","call-function","108","330623","0.0-0.0-1.10-0.10-3.10","auditory","A02F50","","","","","","","","","",""
"4351","<p>Test 12 von 12</p>","0","html-button-response","109","334975","0.0-0.0-1.11-0.11-0.11","auditory","A02F50","","","","","","","","","",""
"null","digits/eight.wav","","audio-keyboard-response","110","336095","0.0-0.0-1.11-0.11-1.75-0.75","auditory","A02F50","null","","","","","","","","",""
"null","digits/six.wav","","audio-keyboard-response","111","337144","0.0-0.0-1.11-0.11-1.76-0.76","auditory","A02F50","null","","","","","","","","",""
"null","digits/two.wav","","audio-keyboard-response","112","338194","0.0-0.0-1.11-0.11-1.77-0.77","auditory","A02F50","null","","","","","","","","",""
"null","digits/four.wav","","audio-keyboard-response","113","339215","0.0-0.0-1.11-0.11-1.78-0.78","auditory","A02F50","null","","","","","","","","",""
"null","digits/three.wav","","audio-keyboard-response","114","340214","0.0-0.0-1.11-0.11-1.79-0.79","auditory","A02F50","null","","","","","","","","",""
"null","digits/seven.wav","","audio-keyboard-response","115","341284","0.0-0.0-1.11-0.11-1.80-0.80","auditory","A02F50","null","","","","","","","","",""
"null","digits/five.wav","","audio-keyboard-response","116","342324","0.0-0.0-1.11-0.11-1.81-0.81","auditory","A02F50","null","","","","","","","","",""
"null","digits/one.wav","","audio-keyboard-response","117","343454","0.0-0.0-1.11-0.11-1.82-0.82","auditory","A02F50","null","","","","","","","","",""
"null","digits/nine.wav","","audio-keyboard-response","118","344385","0.0-0.0-1.11-0.11-1.83-0.83","auditory","A02F50","null","","","","","","","","",""
"21233","<div class = numbox><p>Wie lauteten die Zahlen <b>in umgekehrter Reihenfolge</b>?<br> Antwort mit Enter-Taste best&auml;tigen.</p><button id = button_1 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>1</div></div></button><button id = button_2 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>2</div></div></button><button id = button_3 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>3</div></div></button><button id = button_4 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>4</div></div></button><button id = button_5 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>5</div></div></button><button id = button_6 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>6</div></div></button><button id = button_7 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>7</div></div></button><button id = button_8 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>8</div></div></button><button id = button_9 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>9</div></div></button><button class = clear_button id = ""ClearButton"" onclick = ""clearResponse()"">L&ouml;schen</button><p><u><b>Ihre Antwort:</b></u></p><div id=echoed_txt style=""font-size: 30px; color:blue;""><b></b></div></div>","","html-keyboard-response","119","365870","0.0-0.0-1.11-0.11-2.11","auditory","A02F50","13","BDS-RESPONSE","9","9,1,5,7,3,4,1,6,8","9,1,5,7,3,4,2,6,8","0","3,4,5,6,7,7,8,9,9,8,9,9","8","7",""
"","","","call-function","120","365870","0.0-0.0-1.11-0.11-3.11","auditory","A02F50","","","","","","","","","",""
"53740","<p>Die Aufgabe ist erledigt! Vielen Dank!</p><p>Die Gesamtzahl Ihrer korrekten Antworten ist <b>7</b>.</p>","0","html-button-response","121","419615","0.0-1.0","auditory","A02F50","","","","","","","","","",""
