1630937862.000000, 1630937862.000000, 1630937862.000000
32.000000, 32.000000, 32.000000
-1,64,3
0,64,3
-1,64,3
-1,64,3
-1,64,3
0,64,3
-1,64,3
0,64,3
-1,64,3
0,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
0,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
0,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,4
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
0,64,3
-1,64,3
0,64,3
-1,64,3
0,64,3
-1,64,3
-1,64,3
0,64,3
-1,64,4
0,63,3
-1,64,3
-1,64,3
0,64,3
0,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
0,64,3
-1,64,3
-1,64,3
0,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
0,64,3
0,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
0,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
0,64,3
0,64,3
-1,64,3
-1,64,3
-1,64,3
0,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,63,3
-1,64,3
-1,64,3
0,64,3
-1,64,3
-1,64,3
-1,64,3
0,64,3
-1,64,3
-1,64,3
0,64,3
0,64,3
0,64,3
-1,64,3
0,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
-1,64,3
0,64,3
-1,64,3
-1,64,3
-1,64,3
0,64,3
-1,64,3
-1,64,3
0,64,3
-1,64,3
-1,64,4
-1,64,3
-1,64,3
-1,64,3
0,63,3
-1,64,3
0,64,3
-1,64,3
-1,64,3
0,61,4
0,59,6
-1,65,3
-1,63,3
-1,64,3
0,64,4
-1,63,3
-1,64,3
0,64,3
0,64,4
-1,64,3
-1,64,3
0,63,3
0,64,4
-1,64,3
0,64,3
0,64,3
-1,64,3
-1,63,3
-1,63,3
-1,64,3
-1,64,3
0,62,3
-1,64,3
0,63,4
0,64,3
-1,64,3
-1,64,4
-1,64,3
-1,64,3
0,63,4
-1,65,0
-1,64,3
2,64,3
0,64,2
2,65,4
0,63,3
8,65,1
16,68,1
-28,73,-10
18,91,-7
8,69,3
13,80,20
27,79,46
22,101,55
30,77,50
19,62,19
20,24,20
24,19,35
25,20,37
25,17,28
25,0,56
22,10,60
23,6,42
36,-10,47
36,-14,61
25,7,60
21,7,49
11,-21,46
9,-30,51
11,-13,59
15,-21,66
11,-22,64
4,-16,59
0,-21,54
-9,-35,41
-10,-36,35
5,-40,45
-17,-56,20
-56,-63,17
-20,-37,47
-9,-26,66
-17,-40,56
-20,-45,42
-23,-40,42
-22,-30,51
-22,-27,50
-25,-24,51
-25,-24,46
-24,-19,48
-19,-19,53
-22,-13,60
-19,-11,54
-19,-11,57
-17,-15,56
-14,-18,60
-13,-15,54
-10,-12,56
-8,-21,58
-13,14,66
-7,15,71
-4,5,58
-8,10,65
-14,8,62
-17,11,63
-7,13,64
-16,16,57
-16,20,57
-15,14,54
-17,13,51
-17,16,55
-16,16,59
-18,19,62
-19,13,57
-22,16,59
-24,18,55
-23,18,56
-22,10,54
-19,8,57
-18,10,62
-14,1,59
-11,-13,61
-12,-10,62
-14,-9,57
-16,-5,61
-15,-4,59
-15,-5,61
-16,-4,59
-14,-4,57
-13,-2,58
-12,-2,58
-10,6,61
-7,9,61
2,0,68
-10,7,59
-6,7,65
-13,2,46
-2,1,49
-6,18,60
-19,25,62
-11,23,46
-11,14,30
-21,27,27
-14,33,23
-16,33,15
-19,51,20
-8,38,10
-34,68,21
-35,80,18
-33,85,31
-40,77,8
-33,75,8
-26,69,2
-27,73,4
